"Title"	"Authors"	"Author_Affiliation"	"Correspondence_Author"	"Publish_Date"	"Abstract"	"Keywords"	"Full_Paper"
"The utilization of selection after 100-days lactation in forming a high productive Red and White herd"	"Authors: J. Romer  Hanna Czaja and P. Cielar"	""	"No Co-Author"	"15 October 1982"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Meeting report                                            Open Access                                                              Published: 15 October 1982                         The utilization of selection after 100-days lactation in forming a high productive Red and White herd                         J. Romer  Hanna Czaja & P. Cielar                                   Annales de génétique et de sélection animale                              volume 14  Article number: 586b (1982)             Cite this article                                                                                                      592 Accesses                                                                                                     1 Citations                                                                                             Metrics details                                                                                                                                      Romer  J.  Czaja  H. & Cielar  P. The utilization of selection after 100-days lactation in forming a high productive  herd.                      586b (1982). https://doi.org/10.1186/1297-9686-14-4-586B  Published  Full Article"
"Efficiency of heterogenous selection in the improvement of cattle breed"	"Authors: A. S. Vsyakikh and G. M. Alexandrova"	""	"No Co-Author"	"15 October 1982"	"(To access the full article  please see PDF)"	"Full Article  Cattle Breed  Heterogenous Selection"	"                                                   Meeting report                                            Open Access                                                              Published: 15 October 1982                         Efficiency of heterogenous selection in the improvement of cattle breed                         A. S. Vsyakikh & G. M. Alexandrova                                   Annales de génétique et de sélection animale                              volume 14  Article number: 585b (1982)             Cite this article                                                                                                      621 Accesses                                                                                                              Metrics details                                                                                                                                      Vsyakikh  A.S.  Alexandrova  G.M. Efficiency of heterogenous selection in the improvement of cattle breed.                      585b (1982). https://doi.org/10.1186/1297-9686-14-4-585B  Published  Full Article  Cattle Breed  Heterogenous Selection"
"Efficiency in milk and calf yield for dairy cows: measurements  environmental factors  genetic parameters"	"Authors: R. Aleandri  I. Mao and A.M. Pilla"	""	"No Co-Author"	"15 October 1982"	"(To access the full article  please see PDF)"	"Environmental Factor  Genetic Parameter  Full Article  Calf Yield"	"                                                   Meeting report                                            Open Access                                                              Published: 15 October 1982                         Efficiency in milk and calf yield for dairy cows: measurements  environmental factors  genetic parameters                         R. Aleandri  I. Mao & A.M. Pilla                                   Annales de génétique et de sélection animale                              volume 14  Article number: 584c (1982)             Cite this article                                                                                                      778 Accesses                                                                                                              Metrics details                                                                                                                                      Aleandri  R.  Mao  I. & Pilla  A. Efficiency in milk and calf yield for dairy cows: measurements  environmental factors  genetic parameters.                      584c (1982). https://doi.org/10.1186/1297-9686-14-4-584C  Published  Environmental Factor  Genetic Parameter  Full Article  Calf Yield"
"A simple method for estimating a cow's breeding value from her own lactations and her sire's progeny test"	"Authors: M. Schneeberger and H. Eugster"	""	"No Co-Author"	"15 October 1982"	"(To access the full article  please see PDF)"	"Full Article  Progeny Test"	"                                                   Meeting report                                            Open Access                                                              Published: 15 October 1982                         A simple method for estimating a cow's breeding value from her own lactations and her sire's progeny test                         M. Schneeberger & H. Eugster                                   Annales de génétique et de sélection animale                              volume 14  Article number: 584a (1982)             Cite this article                                                                                                      665 Accesses                                                                                                              Metrics details                                                                                                                                      Schneeberger  M.  Eugster  H. A simple method for estimating a cow's breeding value from her own lactations and her sire's progeny test.                      584a (1982). https://doi.org/10.1186/1297-9686-14-4-584A  Published  Full Article  Progeny Test"
"Sire evaluation for FCM yield in Sweden considering the maternal grandsire of the daughter"	"Authors: J.A. Eriksson and Brigitta Danell"	""	"No Co-Author"	"15 October 1982"	"(To access the full article  please see PDF)"	"Full Article  Sire Evaluation  Maternal Grandsire"	"                                                   Meeting report                                            Open Access                                                              Published: 15 October 1982                         Sire evaluation for FCM yield in Sweden considering the maternal grandsire of the daughter                         J.A. Eriksson & Brigitta Danell                                   Annales de génétique et de sélection animale                              volume 14  Article number: 584b (1982)             Cite this article                                                                                                      699 Accesses                                                                                                              Metrics details                                                                                                                                      Eriksson  J.  Danell  B. Sire evaluation for FCM yield in Sweden considering the maternal grandsire of the daughter.                      584b (1982). https://doi.org/10.1186/1297-9686-14-4-584B  Published  Full Article  Sire Evaluation  Maternal Grandsire"
"Prerequisites for carrying out cattle breeding programmes in breeders' associations"	"Authors: H. Momm"	""	"No Co-Author"	"15 October 1982"	"(To access the full article  please see PDF)"	"Full Article"	"                                                   Meeting report                                            Open Access                                                              Published: 15 October 1982                         Prerequisites for carrying out cattle breeding programmes in breeders' associations                         H. Momm                                   Annales de génétique et de sélection animale                              volume 14  Article number: 583c (1982)             Cite this article                                                                                                      711 Accesses                                                                                                              Metrics details                                                                                                                                      Momm  H. Prerequisites for carrying out cattle breeding programmes in breeders' associations.                      583c (1982). https://doi.org/10.1186/1297-9686-14-4-583C  Published  Full Article"
"Comparison of different bull breeding systems"	"Authors: D. Fewson"	""	"No Co-Author"	"15 October 1982"	"(To access the full article  please see PDF)"	"Full Article  Breeding System  Bull Breeding"	"                                                   Meeting report                                            Open Access                                                              Published: 15 October 1982                         Comparison of different bull breeding systems                         D. Fewson                                   Annales de génétique et de sélection animale                              volume 14  Article number: 583a (1982)             Cite this article                                                                                                      553 Accesses                                                                                                              Metrics details                                                                                                                                      Fewson  D. Comparison of different bull breeding systems.                      583a (1982). https://doi.org/10.1186/1297-9686-14-4-583A  Published  Full Article  Breeding System  Bull Breeding"
"Status and results of merging different strains of Brown cattle in Europe"	"Authors: G. Averdunk"	""	"No Co-Author"	"15 October 1982"	"(To access the full article  please see PDF)"	"Full Article  Brown Cattle"	"                                                   Meeting report                                            Open Access                                                              Published: 15 October 1982                         Status and results of merging different strains of Brown cattle in Europe                         G. Averdunk                                   Annales de génétique et de sélection animale                              volume 14  Article number: 582a (1982)             Cite this article                                                                                                      676 Accesses                                                                                                              Metrics details                                                                                                                                      Averdunk  G. Status and results of merging different strains of  cattle in Europe.                      582a (1982). https://doi.org/10.1186/1297-9686-14-4-582A  Published  Full Article  Brown Cattle"
"Multibreed selection indices for dairy cattle"	"Authors: B. Kinghorn"	""	"No Co-Author"	"15 October 1982"	"(To access the full article  please see PDF)"	"Dairy Cattle  Full Article  Selection Index"	"                                                   Meeting report                                            Open Access                                                              Published: 15 October 1982                         Multibreed selection indices for dairy cattle                         B. Kinghorn                                   Annales de génétique et de sélection animale                              volume 14  Article number: 581a (1982)             Cite this article                                                                                                      629 Accesses                                                                                                              Metrics details                                                                                                                                      Kinghorn  B. Multibreed selection indices for dairy cattle.                      581a (1982). https://doi.org/10.1186/1297-9686-14-4-581A  Published  Dairy Cattle  Full Article  Selection Index"
"Development of synthetic cattle populations"	"Authors: K. Hammond"	""	"No Co-Author"	"15 October 1982"	"(To access the full article  please see PDF)"	"Full Article  Cattle Population"	"                                                   Meeting report                                            Open Access                                                              Published: 15 October 1982                         Development of synthetic cattle populations                         K. Hammond                                   Annales de génétique et de sélection animale                              volume 14  Article number: 580b (1982)             Cite this article                                                                                                      620 Accesses                                                                                                              Metrics details                                                                                                                                      Hammond  K. Development of synthetic cattle populations.                      580b (1982). https://doi.org/10.1186/1297-9686-14-4-580B  Published  Full Article  Cattle Population"
